id,id_vendedor,id_cliente,preco_total,data_venda,comissao
100000,80865,30628,11.0,2020-12-01,0.44
100001,80777,33324,40300.0,2014-10-23,1612.0
100002,80456,33792,10000.0,2013-04-17,400.0
100004,81772,34645,3005.5,2012-12-26,120.22
100006,80248,30078,10000.0,2022-12-30,400.0
100007,81534,34950,30000.0,2010-04-14,1200.0
100008,81666,33080,3600.0,2011-10-18,144.0
100009,80912,34693,30050.0,2019-03-24,1202.0
100010,81836,30363,30300.0,2019-11-07,1212.0
100011,81916,30125,300.0,2021-12-16,12.0
100012,81925,31081,6000.0,2011-06-12,240.0
100013,80554,33854,350.0,2024-07-16,14.0
100014,81367,33344,30600.0,2013-01-28,1224.0
100015,80419,33005,13050.0,2010-11-26,522.0
100016,80430,33244,30000.0,2020-05-04,1200.0
100017,80946,33423,5.5,2010-01-25,0.22
100018,81604,32942,5.5,2017-06-22,0.22
100019,80113,33884,40050.0,2018-12-04,1602.0
100020,80098,30420,50.0,2012-06-08,2.0
100021,80374,31611,3300.0,2023-10-26,132.0
100022,81690,32614,6005.5,2010-03-04,240.22
100023,80519,32923,33300.0,2024-08-03,1332.0
100024,81842,34093,30000.0,2010-11-22,1200.0
100025,80509,30886,30000.0,2023-12-27,1200.0
100026,81798,34355,30305.5,2016-04-03,1212.22
100027,80031,30505,10050.0,2016-01-15,402.0
100028,80572,30771,30000.0,2009-11-10,1200.0
100029,80663,32696,40000.0,2014-02-11,1600.0
100030,80688,30864,10300.0,2018-07-10,412.0
100031,81491,32885,10050.0,2014-10-20,402.0
100032,81487,34040,10000.0,2011-12-11,400.0
100033,80596,33848,33005.5,2021-10-02,1320.22
100034,80296,33913,300.0,2019-03-26,12.0
100035,81958,33613,400.0,2009-05-30,16.0
100037,80312,33818,40005.5,2016-02-12,1600.22
100038,80166,33518,30000.0,2014-11-11,1200.0
100039,80560,33314,10000.0,2019-02-04,400.0
100040,80252,33263,10350.0,2015-03-05,414.0
100041,81002,31925,30000.0,2017-08-09,1200.0
100042,81361,31093,5.5,2019-11-12,0.22
100043,80708,30614,355.5,2022-04-30,14.22
100044,80992,33075,30005.5,2023-10-18,1200.22
100045,80893,30563,350.0,2023-01-11,14.0
100046,81264,31863,50.0,2010-03-08,2.0
100047,80182,32663,10000.0,2015-01-12,400.0
100048,80334,32764,600.0,2022-10-28,24.0
100049,80843,33706,40000.0,2013-08-22,1600.0
100050,81257,30094,40050.0,2011-11-14,1602.0
100051,80461,32597,3000.0,2009-08-16,120.0
100052,80598,32192,5.5,2009-08-13,0.22
100053,80548,32877,23000.0,2013-02-12,920.0
100054,80284,33889,3050.0,2023-09-28,122.0
100055,81208,34721,305.5,2011-01-03,12.22
100056,80143,33591,20300.0,2017-05-19,812.0
100057,80429,33317,33000.0,2024-08-09,1320.0
100058,80130,32232,5.5,2011-03-27,0.22
100059,80899,31566,55.5,2014-12-06,2.22
100060,80777,34024,30305.5,2016-10-28,1212.22
100062,80536,34926,30005.5,2017-08-18,1200.22
100063,80592,31739,30050.0,2023-12-31,1202.0
100064,80272,31820,63000.0,2021-01-17,2520.0
100065,81969,30945,3000.0,2018-03-24,120.0
100066,81373,33528,100.0,2017-07-09,4.0
100067,81370,30903,30350.0,2023-09-11,1214.0
100068,81623,33067,5.5,2019-03-28,0.22
100069,81269,32329,33005.5,2019-04-14,1320.22
100070,80783,34396,6050.0,2010-11-23,242.0
100071,80168,31316,3050.0,2023-03-17,122.0
100072,81368,31884,30050.0,2012-12-25,1202.0
100073,80624,31080,10350.0,2021-08-26,414.0
100074,80813,32474,30050.0,2022-04-05,1202.0
100075,81880,30554,30000.0,2022-12-25,1200.0
100077,80205,32077,13000.0,2019-06-09,520.0
100078,81616,32749,60000.0,2022-02-11,2400.0
100079,80530,30123,300.0,2013-04-16,12.0
100080,80786,33142,305.5,2012-11-29,12.22
100081,81344,30327,20050.0,2017-02-18,802.0
100082,81649,32689,300.0,2016-10-09,12.0
100083,80660,30602,3300.0,2009-11-01,132.0
100084,80617,30163,350.0,2023-03-07,14.0
100085,81738,31780,13300.0,2017-07-26,532.0
100086,80198,32744,30005.5,2011-08-24,1200.22
100087,81673,31357,55.5,2015-02-24,2.22
100088,80878,30828,50.0,2011-07-22,2.0
100089,81776,34217,5.5,2020-05-25,0.22
100090,81499,34000,300.0,2023-01-14,12.0
100091,80883,33911,300.0,2023-01-16,12.0
100092,81026,30874,3000.0,2016-11-05,120.0
100093,80227,30469,355.5,2018-06-22,14.22
100094,80624,31786,33050.0,2012-08-10,1322.0
100095,81853,34129,100.0,2017-05-07,4.0
100096,80585,34332,55.5,2011-05-04,2.22
100097,81333,33004,40050.0,2021-11-11,1602.0
100098,81240,30424,3050.0,2014-12-19,122.0
100099,80308,32221,60005.5,2020-07-16,2400.22
100100,80460,33214,30000.0,2015-02-23,1200.0
100101,80585,34812,33000.0,2022-03-29,1320.0
100102,81516,34769,300.0,2009-04-20,12.0
100103,81350,30474,10050.0,2022-04-19,402.0
100104,81251,34240,10005.5,2019-09-18,400.22
100105,80429,31975,30300.0,2023-02-28,1212.0
100106,80308,32695,10011.0,2023-10-13,400.44
100107,81538,30149,5.5,2017-08-28,0.22
100108,81940,33538,605.5,2020-09-21,24.22
100109,81731,34019,30000.0,2021-11-11,1200.0
100110,80305,32694,300.0,2020-08-24,12.0
100111,80136,30680,40000.0,2017-01-27,1600.0
100112,80041,33270,10000.0,2014-11-01,400.0
100113,81819,30116,10300.0,2020-09-15,412.0
100114,80422,34738,60005.5,2016-05-19,2400.22
100115,81513,30678,3011.0,2009-03-12,120.44
100116,80781,32506,30005.5,2015-07-10,1200.22
100117,80673,30735,30300.0,2018-11-08,1212.0
100118,80691,31633,5.5,2015-02-21,0.22
100119,80752,34748,30350.0,2015-04-12,1214.0
100120,80371,33185,600.0,2020-01-03,24.0
100121,80321,33974,10050.0,2024-07-26,402.0
100122,81544,32716,30011.0,2015-08-12,1200.44
100123,81629,33372,30050.0,2013-03-29,1202.0
100124,80569,31332,50.0,2019-09-06,2.0
100125,80472,33949,10000.0,2009-06-27,400.0
100126,80005,30683,30000.0,2019-05-04,1200.0
100127,80712,30117,30305.5,2016-07-29,1212.22
100128,81540,33307,30300.0,2022-01-06,1212.0
100129,80701,30019,40300.0,2012-04-26,1612.0
100130,81807,34954,10050.0,2024-07-13,402.0
100131,80723,34326,30000.0,2019-08-29,1200.0
100132,80365,30523,33300.0,2013-06-03,1332.0
100133,80290,33597,300.0,2011-10-10,12.0
100134,80888,32052,13300.0,2009-03-19,532.0
100135,81133,30923,3350.0,2023-05-12,134.0
100136,80885,30183,3000.0,2016-12-31,120.0
100137,81719,30855,40005.5,2017-11-26,1600.22
100138,81414,34821,13000.0,2010-03-19,520.0
100139,80102,31073,30005.5,2021-12-09,1200.22
100140,80075,34481,3000.0,2013-09-23,120.0
100141,80701,30218,10300.0,2016-01-09,412.0
100142,81573,34532,50.0,2010-03-03,2.0
100143,81524,31780,5.5,2014-11-27,0.22
100144,81537,33028,30000.0,2024-01-12,1200.0
100145,81661,30117,20000.0,2018-03-18,800.0
100146,80317,33407,30000.0,2011-01-26,1200.0
100147,80188,30801,3305.5,2022-11-13,132.22
100148,80986,32004,55.5,2024-04-10,2.22
